name,smiles,p_crbn_binder,p_crbn_glue,p_ppil4_bind,mgd_composite_score,rank_03,rank_04,combined_rank
cand_29,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(O)c3C2=O)C(=O)N1,0.95,0.915,0.47651728855732467,0.4360133190299521,86,168,254
cand_326,CNc1cc(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.945,0.5042498976487914,0.4765161532781078,25,230,255
cand_467,COc1cc2c(cc1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.965,0.49875000260416025,0.48129375251301465,17,238,255
cand_98,NS(=O)(=O)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,0.955,0.4102335450181969,0.391773035492378,201,56,257
cand_240,NC(=O)c1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.935,0.47477144273070265,0.443911298953207,71,186,257
cand_103,NS(=O)(=O)c1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.945,0.4840054590972979,0.4573851588469465,44,214,258
cand_147,N#Cc1c(C(F)(F)F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.895,0.4887518980531451,0.4374329487575649,83,175,258
cand_151,NC(=O)c1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,0.935,0.4314347009222951,0.40339144536234595,165,94,259
cand_261,CNc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.93,0.4775151752081999,0.44408911294362596,70,189,259
cand_238,N#Cc1cc(N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.955,0.48975143561284057,0.46771262101026273,36,225,261
cand_283,N#Cc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,0.925,0.44151888756183855,0.4084049709947007,144,120,264
cand_489,NS(=O)(=O)c1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.96,0.49650005716554624,0.47664005487892436,23,241,264
cand_474,NS(=O)(=O)c1cc2c(cc1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.925,0.48275684068067043,0.4465500776296202,59,210,269
cand_438,Cc1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,0.905,0.42629102139255,0.38579337436025773,227,47,274
cand_108,NC(=O)c1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,0.905,0.5909756196683741,0.5348329357998786,4,272,276
cand_58,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)C(=O)N1,0.945,0.945,0.47053418223877286,0.44465480221564035,66,212,278
cand_367,CN(C)c1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,0.93,0.44991849846956017,0.41842420357669097,123,157,280
cand_40,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,0.97,0.4003516774075941,0.3883411270853663,210,72,282
cand_466,Cc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,0.965,0.3853265487153865,0.37184011951034796,279,8,287
cand_252,N#Cc1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,0.96,0.42482427254931265,0.4078313016473401,145,144,289
cand_383,COc1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,0.965,0.40419885255655175,0.3900518927170724,206,83,289
cand_455,Cc1cc2c(cc1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.94,0.4817581002042618,0.45285261419200606,52,237,289
cand_129,CCc1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.93,0.4755195893532669,0.4422332180985382,74,217,291
cand_329,Cc1c(N(C)C)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,0.96,0.3898363890571893,0.37424293349490173,271,21,292
cand_348,O=C1CCC(N2C(=O)c3ccc(I)c(C(F)(F)F)c3C2=O)C(=O)N1,0.965,0.955,0.41289751045783035,0.39431712248722794,192,100,292
cand_360,N#Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,0.92,0.4370852351277012,0.40211841631748513,172,124,296
cand_24,NS(=O)(=O)c1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,0.925,0.41970122771085155,0.3882236356325377,211,86,297
cand_170,NS(=O)(=O)c1cc2c(cc1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.925,0.47576899614755824,0.4400863214364914,76,221,297
cand_362,NS(=O)(=O)c1cc2c(cc1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.95,0.45214691443837246,0.4295395687164538,100,197,297
cand_264,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(O)c3C2=O)C(=O)N1,0.95,0.925,0.4618244419312382,0.4271876087863954,107,191,298
cand_465,COc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.965,0.448928730692658,0.43321622511841495,90,209,299
cand_278,N#Cc1c(C(=O)O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.93,0.45884333184977194,0.42672429862028793,108,194,302
