name,smiles,p_crbn_binder,predicted_active
cand_139,O=C1CCC(N2C(=O)c3cc(I)cc(F)c3C2=O)C(=O)N1,0.93,1
cand_140,CCc1ccc2c(c1N(C)C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,1
cand_141,CN(C)c1cc(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_142,NS(=O)(=O)c1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_143,CN(C)c1cc2c(cc1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_144,Cc1cc(C(N)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_145,O=C1CCC(N2C(=O)c3cc(Cl)cc([N+](=O)[O-])c3C2=O)C(=O)N1,0.875,1
cand_146,NC(=O)c1ccc2c(c1C(F)(F)F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_147,N#Cc1c(C(F)(F)F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_148,O=C1CCC(N2C(=O)c3c(I)ccc(C(F)(F)F)c3C2=O)C(=O)N1,0.86,1
cand_149,CCc1cc(OC)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_150,O=C1CCC(N2C(=O)c3cc(F)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.945,1
cand_151,NC(=O)c1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_152,O=C1CCC(N2C(=O)c3cc(Br)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.96,1
cand_153,O=C1CCC(N2C(=O)c3cc(C(=O)O)cc(I)c3C2=O)C(=O)N1,0.885,1
cand_154,O=C1CCC(N2C(=O)c3ccc(Br)c(C(F)(F)F)c3C2=O)C(=O)N1,0.985,1
cand_155,O=C1CCC(N2C(=O)c3cc([N+](=O)[O-])cc(O)c3C2=O)C(=O)N1,0.92,1
cand_156,Nc1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_157,O=C1CCC(N2C(=O)c3cc(O)c(Br)cc3C2=O)C(=O)N1,0.925,1
cand_158,NS(=O)(=O)c1cc([N+](=O)[O-])cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_159,NS(=O)(=O)c1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_160,NS(=O)(=O)c1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_161,NS(=O)(=O)c1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,1
cand_162,CNc1cc2c(c(N(C)C)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_163,CCc1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,1
cand_164,O=C1CCC(N2C(=O)c3cc([N+](=O)[O-])cc(I)c3C2=O)C(=O)N1,0.89,1
cand_165,COc1cc(N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,1
cand_166,Nc1ccc2c(c1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_167,CN(C)c1cc(C(N)=O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_168,Nc1cc2c(c([N+](=O)[O-])c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.88,1
cand_169,O=C1CCC(N2C(=O)c3c(O)ccc(O)c3C2=O)C(=O)N1,0.905,1
cand_170,NS(=O)(=O)c1cc2c(cc1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_171,N#Cc1cc(C(=O)O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_172,Cc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,1
cand_173,CCc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,1
cand_174,O=C1CCC(N2C(=O)c3cc(C(=O)O)cc(Br)c3C2=O)C(=O)N1,0.92,1
cand_175,O=C1CCC(N2C(=O)c3cc(Br)cc(F)c3C2=O)C(=O)N1,0.935,1
cand_176,N#Cc1cc2c(cc1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,1
cand_177,O=C1CCC(N2C(=O)c3cc(Br)cc(C(F)(F)F)c3C2=O)C(=O)N1,0.965,1
cand_178,CNc1c(Cl)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_179,COc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_180,NS(=O)(=O)c1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_181,Nc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
